datetime,ax,ay,az
2026/4/18 19:52:21.5026,0.631800,0.058500,0.830700
2026/4/18 19:52:21.5126,0.631800,0.058500,0.838500
2026/4/18 19:52:21.5226,0.635700,0.058500,0.838500
2026/4/18 19:52:21.5326,0.631800,0.054600,0.834600
2026/4/18 19:52:21.5426,0.635700,0.054600,0.834600
2026/4/18 19:52:21.5526,0.635700,0.058500,0.842400
2026/4/18 19:52:21.5626,0.631800,0.058500,0.834600
2026/4/18 19:52:21.5726,0.631800,0.058500,0.834600
2026/4/18 19:52:21.5826,0.635700,0.058500,0.826800
2026/4/18 19:52:21.5926,0.635700,0.058500,0.834600
2026/4/18 19:52:21.6026,0.631800,0.058500,0.830700
2026/4/18 19:52:21.6126,0.631800,0.058500,0.834600
2026/4/18 19:52:21.6226,0.631800,0.054600,0.826800
2026/4/18 19:52:21.6326,0.631800,0.058500,0.838500
2026/4/18 19:52:21.6426,0.631800,0.058500,0.834600
2026/4/18 19:52:21.6526,0.635700,0.058500,0.834600
2026/4/18 19:52:21.6626,0.635700,0.058500,0.838500
2026/4/18 19:52:21.6726,0.635700,0.058500,0.834600
2026/4/18 19:52:21.6826,0.627900,0.058500,0.834600
2026/4/18 19:52:21.6926,0.635700,0.058500,0.830700
2026/4/18 19:52:21.8146,0.635700,0.058500,0.830700
2026/4/18 19:52:21.8246,0.631800,0.058500,0.834600
2026/4/18 19:52:21.8346,0.639600,0.062400,0.834600
2026/4/18 19:52:21.8446,0.631800,0.058500,0.834600
2026/4/18 19:52:21.8546,0.631800,0.062400,0.830700
2026/4/18 19:52:21.8646,0.635700,0.058500,0.838500
2026/4/18 19:52:21.8746,0.639600,0.062400,0.834600
2026/4/18 19:52:21.8846,0.631800,0.054600,0.838500
2026/4/18 19:52:21.8946,0.635700,0.058500,0.830700
2026/4/18 19:52:21.9046,0.631800,0.054600,0.834600
2026/4/18 19:52:21.9146,0.631800,0.054600,0.834600
2026/4/18 19:52:21.9246,0.635700,0.054600,0.834600
2026/4/18 19:52:21.9346,0.631800,0.058500,0.830700
2026/4/18 19:52:21.9446,0.631800,0.062400,0.838500
2026/4/18 19:52:21.9546,0.635700,0.054600,0.838500
2026/4/18 19:52:21.9646,0.639600,0.062400,0.842400
2026/4/18 19:52:21.9746,0.635700,0.058500,0.830700
2026/4/18 19:52:21.9846,0.635700,0.058500,0.834600
2026/4/18 19:52:21.9946,0.635700,0.054600,0.834600
2026/4/18 19:52:22.0046,0.635700,0.062400,0.830700
2026/4/18 19:52:22.1266,0.635700,0.054600,0.830700
2026/4/18 19:52:22.1366,0.627900,0.054600,0.834600
2026/4/18 19:52:22.1466,0.635700,0.062400,0.838500
2026/4/18 19:52:22.1566,0.635700,0.058500,0.838500
2026/4/18 19:52:22.1666,0.631800,0.058500,0.838500
2026/4/18 19:52:22.1766,0.635700,0.058500,0.830700
2026/4/18 19:52:22.1866,0.635700,0.058500,0.830700
2026/4/18 19:52:22.1966,0.635700,0.062400,0.834600
2026/4/18 19:52:22.2066,0.635700,0.058500,0.830700
2026/4/18 19:52:22.2166,0.635700,0.058500,0.834600
2026/4/18 19:52:22.2266,0.635700,0.066300,0.842400
2026/4/18 19:52:22.2366,0.635700,0.054600,0.834600
2026/4/18 19:52:22.2466,0.635700,0.058500,0.830700
2026/4/18 19:52:22.2566,0.635700,0.054600,0.834600
2026/4/18 19:52:22.2666,0.631800,0.058500,0.830700
2026/4/18 19:52:22.2766,0.631800,0.054600,0.834600
2026/4/18 19:52:22.2866,0.635700,0.058500,0.830700
2026/4/18 19:52:22.2966,0.631800,0.058500,0.834600
2026/4/18 19:52:22.3066,0.631800,0.062400,0.830700
2026/4/18 19:52:22.3166,0.627900,0.058500,0.838500
2026/4/18 19:52:22.4386,0.631800,0.058500,0.834600
2026/4/18 19:52:22.4486,0.635700,0.058500,0.830700
2026/4/18 19:52:22.4586,0.631800,0.062400,0.838500
2026/4/18 19:52:22.4686,0.627900,0.062400,0.834600
2026/4/18 19:52:22.4786,0.631800,0.058500,0.834600
2026/4/18 19:52:22.4886,0.635700,0.062400,0.834600
